Month,Day ,Hour,AmbTemp (K),SolarAz(Deg),ZenithAng(Deg),GHZ,NIP,Airmass,,Production/W,Power
1,3,15,289.75,39.1,68.94,369,828,2.421273759,,0.623328683,155.8321706
1,3,16,289.15,50.34,77.61,210,575,3.145577886,,0,0
1,3,17,288.05,59.86,87.7,10,178,4.373660304,,0,0
1,3,18,286.95,68.16,98.75,0,0,0,,0,0
1,3,19,285.25,75.78,110.45,0,0,0,,0,0
1,3,20,283.05,83.27,122.53,0,0,0,,0,0
1,3,21,282.45,91.43,134.81,0,0,0,,0,0
1,3,22,281.35,101.78,147.02,0,0,0,,0,0
1,3,23,280.85,118.71,158.59,0,0,0,,0,0
1,3,24,280.85,157.41,167.11,0,0,0,,0,0
1,4,1,280.85,-142.42,165.31,0,0,0,,0,0
1,4,2,280.85,-112.65,155.38,0,0,0,,0,0
1,4,3,281.35,-98.44,143.52,0,0,0,,0,0
1,4,4,281.35,-88.98,131.25,0,0,0,,0,0
1,4,5,280.25,-81.12,119.01,0,0,0,,0,0
1,4,6,279.15,-73.66,107.01,0,0,0,,0,0
1,4,7,279.15,-65.91,95.46,0,0,0,,0,0
1,4,8,280.25,-57.31,84.64,63,175,3.950720852,,0,0
1,4,9,281.95,-47.34,74.89,262,633,2.889551852,,0.476872619,119.2181547
1,4,10,285.25,-35.52,66.74,420,863,2.276277575,,0.702893648,175.723412
1,4,11,285.85,-21.58,60.83,530,905,1.949900219,,0.830117491,207.5293728
1,4,12,286.95,-5.87,57.9,559,828,1.81753615,,0.840879476,210.219869
1,4,13,287.45,10.4,58.38,544,871,1.838033095,,0.831294148,207.823537
1,4,14,288.05,25.71,62.21,446,722,2.018582358,,0.693211975,173.3029939
1,4,15,288.05,39.06,68.81,359,748,2.41231387,,0.600580119,150.1450298
1,4,16,288.05,50.33,77.47,207,555,3.131696395,,0,0
1,4,17,285.85,59.87,87.56,11,178,4.353272174,,0,0
1,4,18,283.05,68.18,98.62,0,0,0,,0,0
1,4,19,281.95,75.81,110.31,0,0,0,,0,0
1,4,20,279.15,83.31,122.4,0,0,0,,0,0
1,4,21,280.25,91.48,134.68,0,0,0,,0,0
1,4,22,280.85,101.84,146.89,0,0,0,,0,0
1,4,23,280.25,118.74,158.45,0,0,0,,0,0
1,4,24,278.05,157.13,166.98,0,0,0,,0,0
1,5,1,277.45,-142.95,165.29,0,0,0,,0,0
1,5,2,278.05,-112.97,155.41,0,0,0,,0,0
1,5,3,276.95,-98.66,143.57,0,0,0,,0,0
1,5,4,277.45,-89.15,131.3,0,0,0,,0,0
1,5,5,275.25,-81.27,119.05,0,0,0,,0,0
1,5,6,275.85,-73.8,107.04,0,0,0,,0,0
1,5,7,277.45,-66.04,95.49,0,0,0,,0,0
1,5,8,279.15,-57.45,84.65,57,144,3.952027226,,0,0
1,5,9,283.55,-47.49,74.89,116,44,2.889551852,,0.137609249,34.40231236
1,5,10,285.25,-35.67,66.7,436,706,2.273768376,,0.688478563,172.1196408
1,5,11,286.95,-21.72,60.78,316,154,1.947491036,,0.407641538,101.9103845
1,5,12,288.05,-6,57.81,450,336,1.813742563,,0.616754973,154.1887433
1,5,13,289.15,10.31,58.27,531,785,1.833296275,,0.79252088,198.13022
1,5,14,290.25,25.65,62.08,446,672,2.011928808,,0.674496759,168.6241898
1,5,15,290.25,39.03,68.68,342,714,2.403404402,,0.567095703,141.7739259
1,5,16,289.75,50.33,77.34,191,583,3.118876551,,0,0
1,5,17,287.45,59.88,87.43,11,193,4.33443126,,0,0
1,5,18,283.55,68.21,98.48,0,0,0,,0,0
1,5,19,284.75,75.85,110.18,0,0,0,,0,0
1,5,20,283.55,83.36,122.27,0,0,0,,0,0
1,5,21,281.35,91.54,134.55,0,0,0,,0,0
1,5,22,281.95,101.91,146.75,0,0,0,,0,0
1,5,23,281.35,118.78,158.31,0,0,0,,0,0
1,5,24,280.85,156.87,166.86,0,0,0,,0,0
1,6,1,279.75,-143.49,165.26,0,0,0,,0,0
1,6,2,279.75,-113.31,155.43,0,0,0,,0,0
1,6,3,277.45,-98.89,143.6,0,0,0,,0,0
1,6,4,280.25,-89.33,131.34,0,0,0,,0,0
1,6,5,277.45,-81.43,119.09,0,0,0,,0,0
1,6,6,278.05,-73.95,107.07,0,0,0,,0,0
1,6,7,278.55,-66.18,95.51,0,0,0,,0,0
1,6,8,279.15,-57.59,84.66,65,238,3.953334084,,0,0
1,6,9,282.45,-47.63,74.87,262,633,2.88777321,,0.47417027,118.5425675
1,6,10,284.15,-35.82,66.67,404,706,2.271889371,,0.654740395,163.6850987
1,6,11,286.35,-21.87,60.71,439,538,1.944127304,,0.651663306,162.9158266
1,6,12,288.55,-6.12,57.72,570,762,1.809964486,,0.830922973,207.7307434
1,6,13,290.25,10.21,58.15,454,402,1.828155788,,0.628165438,157.0413596
1,6,14,290.85,25.59,61.95,313,168,2.005314015,,0.408764551,102.1911377
1,6,15,290.25,39.01,68.54,146,0,2.3938657,,0.144214144,36.05353595
1,6,16,289.75,50.32,77.19,134,153,3.104167959,,0,0
1,6,17,287.45,59.9,87.28,8,52,4.312800218,,0,0
1,6,18,285.85,68.24,98.34,0,0,0,,0,0
1,6,19,284.75,75.89,110.04,0,0,0,,0,0
1,6,20,285.25,83.42,122.13,0,0,0,,0,0
1,6,21,283.55,91.6,134.41,0,0,0,,0,0
1,6,22,284.15,101.99,146.62,0,0,0,,0,0
1,6,23,283.05,118.84,158.17,0,0,0,,0,0
1,6,24,283.05,156.64,166.72,0,0,0,,0,0
1,7,1,283.05,-144.03,165.22,0,0,0,,0,0
1,7,2,283.55,-113.65,155.45,0,0,0,,0,0
1,7,3,284.15,-99.13,143.64,0,0,0,,0,0
1,7,4,283.55,-89.51,131.38,0,0,0,,0,0
1,7,5,283.55,-81.59,119.12,0,0,0,,0,0
1,7,6,283.55,-74.1,107.1,0,0,0,,0,0
1,7,7,283.05,-66.33,95.53,0,0,0,,0,0
1,7,8,284.15,-57.74,84.66,16,0,3.953334084,,0,0
1,7,9,284.75,-47.78,74.86,102,0,2.886884441,,0.100006729,25.00168225
1,7,10,286.95,-35.97,66.63,218,41,2.269387883,,0.257764677,64.44116936
1,7,11,289.15,-22.01,60.64,372,248,1.940774188,,0.501832143,125.4580357
1,7,12,290.25,-6.25,57.62,474,402,1.805784743,,0.65067476,162.66869
1,7,13,291.35,10.12,58.03,403,237,1.823043284,,0.528167557,132.0418892
1,7,14,291.95,25.54,61.81,403,423,1.998233498,,0.570425073,142.6062683
1,7,15,291.95,38.99,68.39,243,177,2.383709898,,0.327834847,81.95871179
1,7,16,291.35,50.33,77.05,225,464,3.09052035,,0,0
1,7,17,289.75,59.92,87.14,15,164,4.292715796,,0,0
1,7,18,288.05,68.28,98.2,0,0,0,,0,0
1,7,19,285.25,75.94,109.9,0,0,0,,0,0
1,7,20,283.55,83.48,121.99,0,0,0,,0,0
1,7,21,282.45,91.68,134.27,0,0,0,,0,0
1,7,22,282.45,102.08,146.48,0,0,0,,0,0
1,7,23,281.35,118.91,158.02,0,0,0,,0,0
1,7,24,280.85,156.42,166.58,0,0,0,,0,0
1,8,1,280.85,-144.58,165.17,0,0,0,,0,0
1,8,2,281.35,-114.01,155.46,0,0,0,,0,0
1,8,3,278.55,-99.37,143.67,0,0,0,,0,0
1,8,4,281.35,-89.71,131.41,0,0,0,,0,0
1,8,5,279.75,-81.76,119.15,0,0,0,,0,0
1,8,6,277.45,-74.25,107.12,0,0,0,,0,0
1,8,7,276.35,-66.48,95.54,0,0,0,,0,0
1,8,8,279.75,-57.89,84.65,70,341,3.952027226,,0,0
1,8,9,284.15,-47.94,74.83,258,710,2.884220343,,0.479244696,119.8111741
1,8,10,286.95,-36.12,66.58,414,810,2.266267206,,0.675983815,168.9959539
1,8,11,289.15,-22.16,60.56,507,846,1.936955015,,0.776652003,194.1630007
1,8,12,291.35,-6.38,57.51,558,792,1.801208959,,0.810275258,202.5688144
1,8,13,294.15,10.03,57.9,562,876,1.81753615,,0.817925853,204.4814632
1,8,14,295.25,25.49,61.67,451,671,1.991197431,,0.659807837,164.9519593
1,8,15,296.35,38.98,68.24,371,653,2.373620187,,0.566777962,141.6944905
1,8,16,296.35,50.34,76.9,221,580,3.075983679,,0.38193148,95.48286995
1,8,17,293.55,59.95,86.99,16,211,4.271308441,,0,0
1,8,18,291.35,68.32,98.06,0,0,0,,0,0
1,8,19,290.85,76,109.76,0,0,0,,0,0
1,8,20,288.05,83.55,121.86,0,0,0,,0,0
1,8,21,287.45,91.77,134.13,0,0,0,,0,0
1,8,22,284.75,102.18,146.34,0,0,0,,0,0
1,8,23,285.85,119,157.87,0,0,0,,0,0
1,8,24,284.75,156.23,166.44,0,0,0,,0,0
1,9,1,284.15,-145.14,165.12,0,0,0,,0,0
1,9,2,284.15,-114.37,155.47,0,0,0,,0,0
1,9,3,283.05,-99.63,143.69,0,0,0,,0,0
1,9,4,283.55,-89.91,131.44,0,0,0,,0,0
1,9,5,280.85,-81.93,119.18,0,0,0,,0,0
1,9,6,282.45,-74.41,107.14,0,0,0,,0,0
1,9,7,280.25,-66.63,95.54,0,0,0,,0,0
1,9,8,283.55,-58.04,84.65,84,490,3.952027226,,0,0
1,9,9,286.35,-48.09,74.8,258,699,2.881559554,,0.470903094,117.7257734
1,9,10,289.15,-36.28,66.52,404,747,2.262531446,,0.643796829,160.9492073
1,9,11,291.35,-22.31,60.48,490,775,1.933149622,,0.735077071,183.7692676
1,9,12,295.25,-6.5,57.4,575,864,1.796656048,,0.822895609,205.7239023
1,9,13,296.95,9.94,57.77,549,839,1.812061506,,0.784834517,196.2086292
1,9,14,298.05,25.44,61.52,485,839,1.983707824,,0.715704996,178.926249
1,9,15,298.05,38.97,68.09,370,744,2.363596198,,0.57702827,144.2570674
1,9,16,297.45,50.36,76.74,231,624,3.060575242,,0.398759327,99.68983182
1,9,17,294.75,59.98,86.84,18,234,4.250016244,,0,0
1,9,18,291.35,68.37,97.91,0,0,0,,0,0
1,9,19,288.55,76.06,109.62,0,0,0,,0,0
1,9,20,289.75,83.63,121.71,0,0,0,,0,0
1,9,21,288.55,91.86,133.99,0,0,0,,0,0
1,9,22,286.35,102.29,146.19,0,0,0,,0,0
1,9,23,284.75,119.1,157.72,0,0,0,,0,0
1,9,24,284.75,156.05,166.29,0,0,0,,0,0
1,10,1,284.75,-145.7,165.06,0,0,0,,0,0
1,10,2,284.75,-114.75,155.47,0,0,0,,0,0
1,10,3,283.55,-99.89,143.71,0,0,0,,0,0
1,10,4,283.05,-90.11,131.46,0,0,0,,0,0
1,10,5,282.45,-82.11,119.2,0,0,0,,0,0
1,10,6,282.45,-74.57,107.15,0,0,0,,0,0
1,10,7,283.05,-66.79,95.55,0,0,0,,0,0
1,10,8,285.25,-58.2,84.63,79,414,3.949414964,,0,0
1,10,9,288.05,-48.25,74.77,240,589,2.878902071,,0.422472504,105.6181261
1,10,10,290.85,-36.44,66.46,414,747,2.258805537,,0.648172328,162.043082
1,10,11,293.05,-22.46,60.39,467,657,1.928884966,,0.680282621,170.0706552
1,10,12,296.35,-6.63,57.28,593,912,1.791715195,,0.843379108,210.844777
1,10,13,298.05,9.86,57.62,587,937,1.805784743,,0.833986775,208.4966938
1,10,14,298.55,25.4,61.36,443,609,1.975774475,,0.62629178,156.5729449
1,10,15,299.15,38.96,67.93,361,717,2.352975971,,0.558054742,139.5136855
1,10,16,298.55,50.38,76.58,215,534,3.045266805,,0.36031245,90.07811244
1,10,17,295.25,60.03,86.69,18,206,4.228838834,,0,0
1,10,18,291.95,68.43,97.76,0,0,0,,0,0
1,10,19,289.75,76.13,109.47,0,0,0,,0,0
1,10,20,291.35,83.71,121.57,0,0,0,,0,0
1,10,21,290.25,91.96,133.85,0,0,0,,0,0
1,10,22,288.05,102.41,146.05,0,0,0,,0,0
1,10,23,286.95,119.22,157.57,0,0,0,,0,0
1,10,24,285.25,155.89,166.13,0,0,0,,0,0
1,11,1,285.25,-146.26,164.99,0,0,0,,0,0
1,11,2,284.75,-115.14,155.46,0,0,0,,0,0
1,11,3,284.75,-100.16,143.73,0,0,0,,0,0
1,11,4,284.15,-90.33,131.48,0,0,0,,0,0
1,11,5,284.15,-82.29,119.21,0,0,0,,0,0
1,11,6,282.45,-74.74,107.16,0,0,0,,0,0
1,11,7,280.85,-66.95,95.54,0,0,0,,0,0
1,11,8,284.15,-58.36,84.61,90,544,3.946804643,,0,0
1,11,9,286.95,-48.41,74.73,271,804,2.875363898,,0.503588913,125.8972283
1,11,10,289.75,-36.6,66.4,435,874,2.255089458,,0.698543535,174.6358836
1,11,11,292.45,-22.61,60.29,535,940,1.924166766,,0.806761437,201.6903591
1,11,12,294.75,-6.75,57.16,611,972,1.786801291,,0.878412341,219.6030852
1,11,13,296.95,9.78,57.48,580,894,1.799964993,,0.823530555,205.8826387
1,11,14,299.15,25.36,61.2,456,664,1.967898114,,0.647290453,161.8226132
1,11,15,299.15,38.96,67.76,376,748,2.341772958,,0.578829554,144.7073885
1,11,16,298.05,50.41,76.42,225,577,3.030057876,,0.380043913,95.0109783
1,11,17,295.85,60.07,86.53,21,230,4.206375695,,0,0
1,11,18,293.05,68.49,97.61,0,0,0,,0,0
1,11,19,291.35,76.21,109.32,0,0,0,,0,0
1,11,20,290.25,83.8,121.43,0,0,0,,0,0
1,11,21,288.05,92.07,133.71,0,0,0,,0,0
1,11,22,289.15,102.55,145.9,0,0,0,,0,0
1,11,23,285.85,119.35,157.41,0,0,0,,0,0
1,11,24,286.35,155.75,165.97,0,0,0,,0,0
1,12,1,286.35,-146.82,164.91,0,0,0,,0,0
1,12,2,284.15,-115.53,155.45,0,0,0,,0,0
1,12,3,285.85,-100.44,143.74,0,0,0,,0,0
1,12,4,283.55,-90.55,131.5,0,0,0,,0,0
1,12,5,281.95,-82.48,119.22,0,0,0,,0,0
1,12,6,282.45,-74.92,107.16,0,0,0,,0,0
1,12,7,282.45,-67.12,95.53,0,0,0,,0,0
1,12,8,282.45,-58.52,84.59,90,540,3.944196262,,0,0
1,12,9,288.05,-48.58,74.68,267,771,2.870949428,,0.488466263,122.1165659
1,12,10,290.25,-36.76,66.32,435,868,2.250149938,,0.694355297,173.5888243
1,12,11,291.95,-22.76,60.19,546,911,1.919469852,,0.813662652,203.4156631
1,12,12,294.15,-6.87,57.02,605,894,1.781102278,,0.860095837,215.0239593
1,12,13,295.85,9.7,57.32,560,863,1.793359145,,0.801950305,200.4875763
1,12,14,297.45,25.33,61.04,497,869,1.960078363,,0.732753304,183.188326
1,12,15,297.45,38.97,67.6,382,773,2.331304696,,0.594274659,148.5686647
1,12,16,298.05,50.44,76.26,246,628,3.01494796,,0.412713282,103.1783205
1,12,17,295.25,60.12,86.37,24,257,4.184042279,,0,0
1,12,18,291.95,68.56,97.45,0,0,0,,0,0
1,12,19,290.25,76.29,109.17,0,0,0,,0,0
1,12,20,288.55,83.9,121.28,0,0,0,,0,0
1,12,21,286.95,92.19,133.56,0,0,0,,0,0
1,12,22,286.35,102.69,145.75,0,0,0,,0,0
1,12,23,288.55,119.49,157.25,0,0,0,,0,0
1,12,24,286.95,155.63,165.8,0,0,0,,0,0
1,13,1,284.15,-147.38,164.82,0,0,0,,0,0
1,13,2,284.75,-115.94,155.44,0,0,0,,0,0
1,13,3,285.25,-100.73,143.74,0,0,0,,0,0
1,13,4,286.35,-90.77,131.51,0,0,0,,0,0
1,13,5,285.85,-82.67,119.23,0,0,0,,0,0
1,13,6,283.05,-75.09,107.16,0,0,0,,0,0
1,13,7,283.55,-67.29,95.52,0,0,0,,0,0
1,13,8,285.85,-58.69,84.56,82,446,3.940287325,,0,0
1,13,9,288.05,-48.75,74.63,267,755,2.866544105,,0.484163273,121.0408184
1,13,10,290.85,-36.93,66.24,425,828,2.245227798,,0.672487575,168.1218938
1,13,11,293.05,-22.91,60.08,467,621,1.914327727,,0.670445363,167.6113406
1,13,12,294.75,-6.99,56.89,569,750,1.775842818,,0.793946476,198.486619
1,13,13,295.85,9.62,57.16,484,504,1.786801291,,0.655477508,163.869377
1,13,14,298.05,25.3,60.87,413,447,1.951831484,,0.563395234,140.8488086
1,13,15,298.55,38.98,67.42,262,149,2.319615141,,0.323641099,80.91027471
1,13,16,299.15,50.48,76.09,146,116,2.999001611,,0.187626391,46.90659766
1,13,17,295.25,60.18,86.21,15,49,4.161838128,,0,0
1,13,18,294.75,68.63,97.3,0,0,0,,0,0
1,13,19,293.05,76.38,109.02,0,0,0,,0,0
1,13,20,291.35,84.01,121.13,0,0,0,,0,0
1,13,21,290.25,92.32,133.42,0,0,0,,0,0
1,13,22,289.15,102.84,145.6,0,0,0,,0,0
1,13,23,289.75,119.65,157.09,0,0,0,,0,0
1,13,24,289.15,155.53,165.63,0,0,0,,0,0
1,14,1,287.45,-147.94,164.73,0,0,0,,0,0
1,14,2,286.35,-116.35,155.41,0,0,0,,0,0
1,14,3,285.85,-101.02,143.74,0,0,0,,0,0
1,14,4,285.85,-91.01,131.51,0,0,0,,0,0
1,14,5,285.85,-82.87,119.23,0,0,0,,0,0
1,14,6,284.15,-75.28,107.16,0,0,0,,0,0
1,14,7,281.35,-67.46,95.5,0,0,0,,0,0
1,14,8,284.75,-58.86,84.52,90,560,3.935082189,,0,0
1,14,9,288.55,-48.92,74.57,285,810,2.861269771,,0.513255916,128.313979
1,14,10,291.35,-37.1,66.16,451,909,2.240322985,,0.712690354,178.1725884
1,14,11,294.15,-23.07,59.97,551,793,1.909211133,,0.785111485,196.2778714
1,14,12,296.95,-7.12,56.74,287,132,1.769812839,,0.340822911,85.20572771
1,14,13,296.95,9.55,57,604,826,1.780291099,,0.831469822,207.8674555
1,14,14,296.95,25.28,60.69,530,868,1.943168189,,0.765451588,191.362897
1,14,15,296.95,39,67.25,253,162,2.308659279,,0.324528866,81.13221645
1,14,16,296.35,50.52,75.92,252,483,2.98316589,,0.394573531,98.64338286
1,14,17,293.55,60.25,86.04,28,208,4.138387343,,0,0
1,14,18,291.35,68.71,97.14,0,0,0,,0,0
1,14,19,289.75,76.47,108.87,0,0,0,,0,0
1,14,20,290.25,84.12,120.99,0,0,0,,0,0
1,14,21,288.55,92.45,133.27,0,0,0,,0,0
1,14,22,286.95,103,145.45,0,0,0,,0,0
1,14,23,289.15,119.81,156.92,0,0,0,,0,0
1,14,24,285.85,155.45,165.45,0,0,0,,0,0
1,15,1,284.75,-148.5,164.63,0,0,0,,0,0
1,15,2,283.55,-116.78,155.38,0,0,0,,0,0
1,15,3,283.05,-101.32,143.73,0,0,0,,0,0
1,15,4,283.05,-91.25,131.51,0,0,0,,0,0
1,15,5,282.45,-83.08,119.23,0,0,0,,0,0
1,15,6,283.55,-75.46,107.15,0,0,0,,0,0
1,15,7,283.05,-67.64,95.48,0,0,0,,0,0
1,15,8,284.15,-59.04,84.48,93,479,3.929884795,,0,0
1,15,9,286.95,-49.1,74.51,245,524,2.856008564,,0.412831945,103.2079861
1,15,10,289.75,-37.27,66.07,414,735,2.234825716,,0.643959892,160.9899731
1,15,11,291.95,-23.22,59.85,557,929,1.903658372,,0.824471509,206.1178773
1,15,12,294.15,-7.24,56.59,622,971,1.763823991,,0.886922811,221.7307026
1,15,13,294.75,9.48,56.83,604,954,1.773425873,,0.86335376,215.83844
1,15,14,296.35,25.26,60.51,543,954,1.934575032,,0.79516893,198.7922324
1,15,15,296.35,39.02,67.07,363,505,2.297147589,,0.52313901,130.7847526
1,15,16,295.85,50.57,75.74,261,564,2.966518581,,0.41986875,104.9671875
1,15,17,294.15,60.32,85.88,31,250,4.116448354,,0,0
1,15,18,292.45,68.8,96.98,0,0,0,,0,0
1,15,19,289.15,76.57,108.72,0,0,0,,0,0
1,15,20,288.55,84.24,120.83,0,0,0,,0,0
1,15,21,286.95,92.6,133.12,0,0,0,,0,0
1,15,22,286.35,103.17,145.29,0,0,0,,0,0
1,15,23,286.95,120,156.76,0,0,0,,0,0
1,15,24,287.45,155.38,165.27,0,0,0,,0,0
1,16,1,285.25,-149.05,164.52,0,0,0,,0,0
1,16,2,283.55,-117.21,155.34,0,0,0,,0,0
1,16,3,282.45,-101.63,143.72,0,0,0,,0,0
1,16,4,283.05,-91.49,131.5,0,0,0,,0,0
1,16,5,280.85,-83.29,119.22,0,0,0,,0,0
1,16,6,280.25,-75.66,107.13,0,0,0,,0,0
1,16,7,280.25,-67.83,95.45,0,0,0,,0,0
1,16,8,284.75,-59.22,84.43,94,480,3.923398928,,0,0
1,16,9,286.95,-49.27,74.44,263,656,2.849887043,,0.459137323,114.7843308
1,16,10,289.15,-37.44,65.97,425,805,2.228743188,,0.670224288,167.556072
1,16,11,291.35,-23.38,59.72,489,739,1.897676832,,0.719603521,179.9008803
1,16,12,293.05,-7.35,56.44,580,821,1.757876004,,0.822095504,205.523876
1,16,13,294.75,9.41,56.65,591,929,1.766214611,,0.844782376,211.1955941
1,16,14,295.85,25.25,60.33,501,818,1.926051486,,0.729145641,182.2864104
1,16,15,296.35,39.05,66.89,417,873,2.285726457,,0.648603547,162.1508868
1,16,16,295.85,50.63,75.57,246,743,2.950908766,,0.434169878,108.5424695
1,16,17,293.55,60.4,85.71,31,337,4.093278262,,0,0
1,16,18,291.95,68.89,96.82,0,0,0,,0,0
1,16,19,289.75,76.68,108.56,0,0,0,,0,0
1,16,20,288.55,84.36,120.68,0,0,0,,0,0
1,16,21,288.55,92.75,132.97,0,0,0,,0,0
1,16,22,288.05,103.35,145.14,0,0,0,,0,0
1,16,23,290.85,120.19,156.59,0,0,0,,0,0
1,16,24,289.75,155.33,165.09,0,0,0,,0,0
1,17,1,288.55,-149.6,164.41,0,0,0,,0,0
1,17,2,286.35,-117.64,155.3,0,0,0,,0,0
1,17,3,287.45,-101.95,143.7,0,0,0,,0,0
1,17,4,288.05,-91.74,131.49,0,0,0,,0,0
1,17,5,286.95,-83.51,119.21,0,0,0,,0,0
1,17,6,287.45,-75.85,107.11,0,0,0,,0,0
1,17,7,286.35,-68.01,95.41,0,0,0,,0,0
1,17,8,288.55,-59.4,84.38,94,563,3.916925133,,0,0
1,17,9,290.85,-49.45,74.36,285,728,2.842912801,,0.487888203,121.9720508
1,17,10,291.95,-37.61,65.87,389,510,2.222687452,,0.563501629,140.8754072
1,17,11,293.05,-23.53,59.59,568,881,1.891730412,,0.819273748,204.8184369
1,17,12,294.15,-7.47,56.27,628,929,1.751184012,,0.882609745,220.6524364
1,17,13,295.25,9.35,56.47,552,741,1.759062345,,0.768364235,192.0910587
1,17,14,295.25,25.24,60.14,514,830,1.91712935,,0.745689642,186.4224104
1,17,15,295.85,39.08,66.7,424,898,2.273768376,,0.660858288,165.214572
1,17,16,295.25,50.69,75.39,254,776,2.934499326,,0.449355294,112.3388234
1,17,17,293.05,60.48,85.53,33,360,4.06890193,,0,0
1,17,18,291.35,68.99,96.65,0,0,0,,0,0
1,17,19,289.15,76.8,108.4,0,0,0,,0,0
1,17,20,288.05,84.5,120.53,0,0,0,,0,0
1,17,21,285.25,92.9,132.82,0,0,0,,0,0
1,17,22,284.75,103.55,144.98,0,0,0,,0,0
1,17,23,284.75,120.4,156.41,0,0,0,,0,0
1,17,24,283.55,155.3,164.89,0,0,0,,0,0
1,18,1,283.05,-150.15,164.28,0,0,0,,0,0
1,18,2,283.05,-118.09,155.25,0,0,0,,0,0
1,18,3,281.95,-102.27,143.68,0,0,0,,0,0
1,18,4,279.15,-92,131.48,0,0,0,,0,0
1,18,5,279.75,-83.73,119.19,0,0,0,,0,0
1,18,6,278.05,-76.05,107.08,0,0,0,,0,0
1,18,7,279.15,-68.2,95.37,0,0,0,,0,0
